#武器
六欲天デレクターレ HP302 攻撃力4934 杖 光 シャインバーサリティー:光属性キャラクターの全攻撃性能UPと会心効果(中)(エクシード性能65%上限50%、エラボレイト性能50%上限25%、テクニカ22%、クリティカ15%) ルミナストレングス：光属性キャラクターのHPと攻撃UP(大)(ディフェンダー26%、アサルト23%)
煌獅砲ゾディアックカノン HP230 攻撃力4496 銃 光 ルミナヴィゴラス：光属性キャラクターに旺盛効果(大)(ヴィゴラス19.1%) レイトライエッジ：光属性キャラクターの攻撃と三段攻撃確率UP(小)(アサルト20%、バレッジ3%)
純傲光剣シェオルブレード HP204 攻撃力4110 剣 光 ルミナエクシード：光属性キャラクターのバースト性能UP(大)(エクシード性能80%上限40%) レイアサルト：光属性キャラクターの攻撃UP(小)(アサルト20%)
機光銃コレールスナイプ HP217 攻撃力4641 銃 光 ルミナディフェンダー：光属性キャラクターの最大HPUP(大)(ディフェンダー26%) レイテクニカ：光属性キャラクターの通常攻撃性能UP(小)(テクニカ18%)
天意剣イシュタル HP230 攻撃力4881 剣 光 シャインパークアップ：光属性キャラクターのHPと急所攻撃確率UP(中)(ディフェンダー23%、スティンガー40%) シャインフェイタル：光属性キャラクターの攻撃UP/会心効果(中)(アサルト23%、クリティカ15%)
自走[属性名]砲ランチャータンク(※各属性に存在するエジソンの英霊武器) HP272 攻撃力4543 銃 各属性 発明王の覇気+：味方全体の属性攻撃UP/属性キャラの最終ダメージUP(5%)※エジソンのメイン装備で効果発動 プログラムアプティマイズ+：ドロイドアナパシスのダメージ性能UP(減衰50万⇒65万)/エジソンのステータスUP
※エジソンのメイン装備で効果発動


#幻獣
ハギト(※守護) HP990 攻撃力3375 光


#英霊
エジソン LvUPボーナス:攻撃力+400、アビリティダメージ+8% MASTERボーナス:アビリティダメージ+8% 得意武器:銃、魔導具
ナポレオン LvUPボーナス:攻撃力+400、アビリティダメージ+8% MASTERボーナス:アビリティダメージ+8% 得意武器:剣、銃

#神姫
ヤマトタケル 最大Lv攻撃力:10000 最大LvHP:1100 得意武器:剣、槍
ヘカテー 最大Lv攻撃力:7800 最大LvHP:1850 得意武器:杖、魔導具
テトラ 最大Lv攻撃力:10110 最大LvHP:1100 得意武器:杖、魔導具
エレイン 最大Lv攻撃力:10500 最大LvHP:1820 得意武器:剣、特殊剣


#実機編成スナップショット(検証編成・育成途中スクショ実測。青字=HP/赤字=攻撃力)
##キャラ表示値(発動ボーナス込み。DISPLAY_ATK_OVERRIDE/DISPLAY_HP_OVERRIDEに登録済み)
エジソン Lv20 HP9689 攻撃力78306
ヤマトタケル Lv80 HP7628 攻撃力62999
ヘカテー Lv80 HP8332 攻撃力59226
テトラ Lv90 HP8332 攻撃力65436
エレイン Lv80 HP8345 攻撃力63537
##ウェポン編成(総合HP2011 / 総合攻撃力36080)
メイン Lv150 HP152 攻撃力3043 (エジソン英霊武器ランチャータンク)
サブ1 Lv200+99 HP337 攻撃力4793
サブ2 Lv150 HP145 攻撃力2660
サブ3 Lv200+99 HP401 攻撃力5231
サブ4 Lv200 HP204 攻撃力4110
サブ5 Lv200 HP204 攻撃力4110
サブ6 Lv125 HP126 攻撃力2616
サブ7 Lv200 HP217 攻撃力4641
サブ8 Lv150 HP145 攻撃力2429
サブ9 Lv100 HP80 攻撃力2447
##幻獣編成(総合HP4040 / 総合攻撃力13205)
メイン Lv150+99 HP1089 攻撃力3672
サブ1 Lv40 HP371 攻撃力1187
サブ2 Lv100 HP660 攻撃力1890
サブ3 Lv100 HP570 攻撃力2280
サブ4 Lv100 HP570 攻撃力1950
サブ5 Lv100 HP780 攻撃力2226
